,Theta_channel108,Beta_channel84,Gamma_channel98,Theta_channel87,Delta_channel31,Gamma_channel96,Delta_channel108,Delta_channel90,Theta_channel31,Gamma_channel115,Theta_channel115,Delta_channel107,Gamma_channel112,Delta_channel27,Theta_channel0,Theta_channel95,Gamma_channel94,Delta_channel23,Theta_channel97,Delta_channel115,Gamma_channel26,Gamma_channel108,Theta_channel32,Delta_channel94,Theta_channel107,Theta_channel114,Delta_channel28,Theta_channel109,Gamma_channel114,Theta_channel1,Delta_channel22,Theta_channel105,Delta_channel96,Theta_channel70,Gamma_channel90,Delta_channel114,Theta_channel83,Delta_channel98,Theta_channel99,Gamma_channel23,Beta_channel108,Delta_channel112,Theta_channel80,Delta_channel109,Delta_channel30,Gamma_channel22,Theta_channel94,Theta_channel85,Theta_channel27,Gamma_channel113,Delta_channel80,Theta_channel113,Delta_channel70,Beta_channel115,Alpha_channel0,Theta_channel103,Gamma_channel111,Delta_channel106,Theta_channel91,Theta_channel30,Delta_channel113,Delta_channel36,Theta_channel112,Delta_channel32,Gamma_channel24,Delta_channel95,Theta_channel90,Beta_channel31,Delta_channel110,Theta_channel106,Theta_channel96,Delta_channel34,Delta_channel21,Beta_channel94,Delta_channel97,Theta_channel104,Delta_channel111,Theta_channel28,Delta_channel26,Theta_channel79,Theta_channel82,Theta_channel66,Gamma_channel27,Theta_channel102,Theta_channel78,Beta_channel107,Delta_channel92,Gamma_channel110,Delta_channel38,Theta_channel34,Beta_channel90,Theta_channel98,Delta_channel24,Delta_channel78,Beta_channel114,Gamma_channel31,Theta_channel110,Gamma_channel107,Theta_channel38,Theta_channel23,target
0,15281.672678890973,1377.0104032184831,287.50326993230846,6984.029472398425,1136.9243138530578,780.6533271480009,18037.781628414818,1281.570728434662,1356.9359406405429,759.1130611553835,9184.513353141576,4460.916178280174,250.8858920870047,4936.002111921912,1219.3140491790557,14061.943336296674,1088.2331779207336,1210.5039706574914,13180.941994297124,10857.90060422622,303.652927494848,1262.533532619733,819.1288605606533,19310.27491784949,4551.012616593699,6815.570720142667,2557.441817995428,24420.942778035005,554.06052703785,3669.5018878898777,989.5816665904366,6103.652235532761,14633.172065467792,1312.5964308236278,66.86444292149183,8476.787359779626,7908.674881540242,4952.952057549908,9203.76936543739,45.53540991269941,4415.088494984834,5622.927040935842,4570.205725657747,28349.985693429157,489.2787071203946,36.84071521546149,17647.069036755584,3857.6955904220554,5973.100118436003,325.3879128517193,4645.467584721002,4556.720759350697,859.4337092284045,2709.076813344372,1121.515325110613,5446.593043693441,436.8268784326089,4225.672282971193,3780.169790982853,939.7238319336336,6054.43618830288,4886.463179450829,4154.246844468438,733.7123250383055,211.6404419758235,14076.71515219396,2953.348365399326,309.66966321200255,20377.03135758807,4551.528328656523,14770.1494899874,6552.5093000982615,1339.6950499742286,4349.732844529415,11275.927138783163,5743.888478114108,9846.66432516704,4019.084078691588,7361.624037265445,5670.920856528253,6850.463611995015,6996.380745678739,222.9282012489318,4239.575889219622,9594.761221847795,1192.383171835448,1418.9379432962469,962.0296180422782,1878.3350912275785,6096.352189376386,464.4910704799306,5694.575339732835,5297.1142574479645,7982.572789458581,2035.5764822908732,46.43265110217568,18479.106878185023,256.50969655248645,2382.641971649374,2434.360439697673,0
1,8248.980693576605,1608.720017930602,238.59105695500932,3609.103337781789,971.318911591345,675.0473860577873,8999.967669895874,1819.9262172102897,886.5047929597666,469.66051998413656,4209.476194704681,3216.52589795778,140.57755725864286,4305.901344306856,1324.1461240975752,9512.989744804663,1064.0650453814228,480.1509688391402,5316.289920706008,4241.164950427089,130.5993192393186,849.6661023211132,688.5977526326868,14572.476970144498,2892.650378458673,2424.635149871717,972.2111391476363,9932.786308549756,328.8175166448577,3508.0112594497914,105.03854988284697,3540.362583455787,9633.009331161762,772.1582746078901,132.87590226038117,2946.573820221085,3379.513104065163,2974.252849030757,1681.8814971888305,39.01251747437066,4981.96199202052,1419.3118442691753,2908.8676012676783,12712.715037435955,294.61003640871587,10.444728707720635,9392.429280058974,1707.092834041909,2872.1177973553,228.1970389756882,4365.097567541973,1403.551684048376,627.9052788373838,2504.6928190894105,1562.018366666144,3099.5325439086705,177.48001195965605,5198.679161748356,979.7441087552346,206.82729367425367,2262.967073478978,2981.141390391373,820.1346635907946,1162.0009805886932,47.32254757887592,9017.293904733177,1211.96354224042,553.049776248115,5144.673615737072,4118.526891539827,5426.757016034939,6021.587215176391,38.29237265495719,6107.328061137213,4713.068813576489,3558.414677960685,1815.5765757041388,819.6144142508136,1595.3281517731905,3376.451354972124,3800.5928530261785,2961.370237204542,284.04283355600927,3362.217911423299,5167.177009680465,1567.423545733116,2282.1704283523536,474.6348885550238,1171.0933472585475,5009.344013665733,746.8293816644166,1820.3140552402049,510.6009329930533,6106.475871501917,1569.035776144085,85.71541736112047,3605.663235867277,302.02136493699214,765.9913308052188,337.7916682682611,0
2,10842.130483798985,1164.4852584449095,232.90695732902844,2247.778889563176,1128.4932493799572,629.453841307418,22553.294219649943,2347.6648888650325,1260.492554596295,470.0406539191568,6494.796435321906,3815.054595080974,165.01632921970483,5016.7496085972925,329.47787337418646,8532.556327832419,943.8979610551796,1080.334656313497,5935.438431901534,12246.772461496725,190.37445702523456,855.7149921337027,247.6332459126301,23512.427138833576,2354.4501621215413,4993.411658389474,1817.2614107677457,15247.018768592108,337.3530424717964,990.9520106459046,370.80009502029225,3294.6167705574107,15602.861750681144,328.96148795354003,91.37908201998624,8731.583564710767,2750.890225898937,6242.18282088396,2643.1542415402823,52.25157189262258,4191.876876296316,4575.100572347188,1278.0722812738554,29409.376832033988,391.3236036228317,25.936504061024444,12019.642284517156,1051.2079142749608,3778.267314056577,228.27059662098392,3007.381265894452,3726.223014134548,561.3326427770094,2355.3498623413766,362.1354079807437,1986.498185221446,242.5401930226264,3812.040956356137,861.2732952335325,423.5335073348037,5949.0572836515685,2417.5113997606813,3242.4025554416703,644.8780737805872,64.76255009103359,16436.498624537267,1752.3474053848154,353.0020924694587,13553.260756027596,4016.962336872942,9292.843434418512,6661.477786166936,150.36905945898673,4312.83947176776,9998.778710304556,3365.276903902483,6947.180484111253,1564.0491723738191,4389.330380326207,1713.2922968202406,4741.368877450895,1986.812342329648,209.46332395073628,2399.2448358734614,4841.221486094731,964.4480321066776,2008.1768132561208,525.7028757928778,1466.393200184118,4373.950945161073,487.7211543739657,4183.432646012559,1255.6744391761067,6717.723348961834,1712.8531632606575,47.6725794415942,8464.903878272678,180.2034639533632,863.7054411863339,920.9871023875148,0
3,5884.878906707813,1216.038706978011,235.6553471636264,1466.4917261164328,934.7309254674368,628.9229828840939,22774.67143489199,1001.8335624363558,282.17625987148733,658.9901128581376,3105.5376949472197,3906.137353165442,190.16876636284147,3130.025618168961,493.9803951331215,3863.2423325251807,975.936965690885,515.3047365764082,2551.772361849912,11614.140005159306,244.32255474514835,1301.3349039906382,228.80915128139569,17309.520370198745,1018.6933652294756,2089.456491758248,1811.1702534481149,10885.360463097331,429.596002046031,1465.6697351768223,457.9599293571415,1359.6675494611509,10697.629897539931,261.75731192960365,72.97051564566047,7736.764168947258,1671.5466171990208,3635.706269754116,925.513411186832,38.62363101979346,6201.764849331583,3396.997725067984,1080.938534378583,43449.6226104081,392.893301854086,31.92513940094204,5713.07937676349,832.1974576470772,1149.1157500756333,247.23013601003035,3237.5800129563954,1224.7554871351322,874.9250811976598,3376.275217203406,377.7101357455244,478.16589543480194,428.0974763358785,3124.6782901753304,191.17405437959312,118.43527356613404,4554.384992063552,3899.434914115834,952.7930004575484,672.9657154949465,116.92960652613348,16346.483126901174,399.6171647285574,465.50005340153314,25256.493262617638,1144.916633076874,4052.967999493637,4676.610698968727,396.0061455249315,6044.478677585727,10526.137725799965,1459.1383094959017,7720.447432468819,564.3695768595487,3282.5945543262565,1030.2550835560717,1969.002059542615,981.1321208123012,176.6440799231482,708.9978442045262,1391.168336489651,1580.8005802796836,711.7508103229478,1380.521377478787,1435.978026614772,1571.2617863414396,559.1242282826677,1503.4957623829173,1438.489937081003,3863.924770087696,2344.405562181242,47.714654314645415,6672.934963703283,266.1110215167714,453.91722071315183,194.30617124306175,0
4,6545.7901929511545,4469.642296639871,374.0612297949301,1272.0763068589265,4307.104959952652,613.0126207597561,11397.442137042091,5297.673360201245,2527.386271501703,272.3006521040948,4661.270321236769,1748.2146218838457,176.93331169355142,8990.362290426418,1114.7105902605542,3617.915214338864,669.1113125576038,1826.7371925955904,2898.295660261105,7527.934875897521,281.05453762009864,430.7373800239146,1957.307236797642,18541.633369487256,956.1667998517174,3917.473470451904,4662.888279643327,8775.049437987318,207.4755993233574,2715.5447128631035,1709.5203298129766,2173.364000687378,16162.67188018624,162.46453577021464,196.1013436375285,5857.907216943994,1084.2110231969818,10004.941191775146,1752.618610206055,154.4888520434394,4212.119237934692,4257.996641157552,5597.492247218288,15311.767415599868,1597.9692701454524,116.58094279263696,10019.398467863271,602.9707766703286,4848.193160171736,159.31121056504622,14520.418619045711,3174.9452154894457,245.2310964660347,2966.345923947906,1554.9917100398882,1102.195069899073,271.0266368520995,9064.408528340377,389.694010357146,1154.497792728227,4448.261750441319,4805.537905012663,2905.8643669899525,5067.841742098392,119.28072289975388,6651.31181812124,2659.1123687573822,1885.254619920987,9947.30998062698,5083.543673543343,8353.080504957647,13668.92251165817,770.4271645273649,6740.061284085813,4593.675021140912,3820.633075223504,6151.223262813682,2854.5283411945597,5616.284260451998,806.7650091775588,4131.744611843601,976.477983618234,351.1654046811027,3983.119279261323,6448.340909433081,680.3127236980398,4513.410315027651,435.74823102999625,7135.77724419658,6251.380873141521,2002.54578341078,5044.157009544691,1770.3147958819472,12255.378179013684,2490.1652180470437,171.5751874065179,5969.507055359689,81.58800884074121,3272.045859522712,1333.842351003042,0
5,28949.77756315853,2370.736181628391,748.5891687072749,6821.899372879627,8512.941064260438,2115.5430749309094,52228.63722216425,10785.438592617002,4517.002753965421,1935.7977311487325,18785.20981597864,10039.142937599265,452.6154933955237,23480.296465989544,13659.296319977082,16593.633845213746,3804.555297286766,5119.495413171554,10688.449437897296,30034.132923219902,486.7530386573048,3720.489061538221,3414.7691024312894,70500.04910033532,6026.90656652117,14358.487007057616,11305.702775206832,34672.851815341724,1188.4630648303971,15333.634422273304,4112.911445091079,11758.059608082602,49362.0367034105,1746.4008648280603,311.6088363457155,21396.55332004328,4556.8712270563765,22755.21436110101,5471.658895935638,118.79725518919828,8174.350607480389,12063.678591859,12234.016706649683,70776.10110161707,5138.712729429051,107.51943527331208,38304.11792391696,3826.345861721481,13468.451868068005,622.9296116745385,21179.61974798237,9938.661400821178,2423.405337576122,4655.596266065566,11854.036186189882,5283.168703586782,894.8182387793624,12450.618091449856,2036.8940539511136,3523.25801114338,14354.825609851392,7791.538405685551,8245.232697834843,5988.784949541227,395.6935956625658,28637.94484082869,7330.635419205389,1075.467222657677,40574.02296497707,8971.254493540322,28782.069339180194,29446.067425604186,3823.162370430201,9811.993065486986,15363.783824777289,14636.08162325164,18849.01297348955,7098.64439713214,16083.66894389426,8938.391486169154,9152.330774420996,5405.616872280214,893.0576087230686,8447.888521568218,20602.578105896835,1871.4344476615588,8267.259441903041,2444.0252786333444,10127.703512581418,15209.561842011197,1458.654931623684,15129.32933045385,7378.068339267254,39807.10131532308,3166.423701328606,267.5089348291659,20741.100398323702,862.5625400376288,6609.798501522911,4888.9979281371325,0
6,7577.022265771164,901.3766817403844,115.7583401147951,1246.103461561952,1146.359575317929,335.26529885910213,11099.505455281504,1552.2388093128422,693.8773267559802,426.4830083925454,4958.948456009846,2805.1375834898727,158.3086724327602,3224.117982399673,235.16497181799545,5518.329301313158,476.4150211804799,864.2260945364152,4351.070927047826,7260.386236345561,150.50239446731825,645.668394916396,270.1688766319569,10999.890522675374,1550.0381335246966,3766.381909433288,1552.4234824120813,12202.766371453026,331.6578229447386,722.9974576249061,889.6129403000533,2882.688772851471,8521.879161239847,297.442850825329,69.76004657737943,5693.900705645599,1508.176148249271,3148.0676765330554,1982.5439547463984,34.983523696553895,3991.062126970044,2956.901327641272,984.6251582288364,18327.242137238936,648.7074052466675,36.86940257407117,6931.620079640864,729.5802805070991,1922.6487768495072,238.23169286489951,1840.541893595756,2616.696139209441,555.3074427106159,2626.3101059071378,207.15460663103727,1955.492530788724,193.2538459959372,3324.844660714597,1035.274405511242,442.7273471469515,4205.000524692404,2122.953278444897,1740.5391306764016,468.1337086409832,84.91793681499395,8778.071163311208,969.8742293510836,375.9057396640327,9461.45522671348,1928.7445795852448,4964.5668837479625,3417.2697942389573,473.01867172692994,3248.4795342552447,6529.168884035468,3292.384084930102,3966.8056451634375,839.1946860424891,3530.564130160594,1131.231737118742,4320.256253802119,1500.106529926923,140.40328637703854,2156.799603836019,2527.350294588667,860.1971374731619,1723.2127824235283,443.882803919316,1422.290429359619,1925.6312127947435,538.818037043466,1772.6733372018289,1949.9342711066488,4265.472446692273,1995.780396762352,35.67431428182203,5664.712347041776,169.41652891039783,854.6721715011874,503.3160382736553,0
7,10521.084849296423,551.1241358705344,422.83451032671616,2799.6783784919103,1923.0902568339384,908.2522699083808,37441.9945508013,5915.268623711458,496.7716546779321,1031.0962594505186,5781.347323144299,9183.487067250684,315.98118245919085,11938.991878373428,3125.2598593338776,10087.43305223671,1737.3888923600896,1008.2901395584826,7127.178266552012,21151.50908939821,125.53529347820988,1799.647230115439,997.6537993631486,40254.97606492492,2748.1920583570927,4301.994363187759,3352.041620448289,9986.71721079088,739.5074549901573,2998.3558211478703,568.9506536406872,2922.1659265124786,23136.785496096687,1066.6881239964705,260.2106743900046,15673.810717723716,1083.271161543453,10977.199198358589,4329.590088599105,54.564433667780186,5119.445628010479,10442.573876328444,2273.904212850772,38326.12118806039,669.4610612883073,25.147148187344893,11293.629737606634,1568.9838468582736,3337.9654404376024,535.3367451101457,9180.08013222614,3642.2844438240063,3465.8575697911097,2924.497946550853,2689.594323387237,2073.154584574598,345.0753691509633,10655.035455346388,1788.0534217080085,198.19304376585657,12587.08242719457,8951.278915067855,3189.0684552455136,3884.42014067421,65.62991485708054,32764.72591158621,1825.560988954791,225.34701271337067,18080.13106065041,2625.63180284364,6917.449307607333,12009.614088281243,553.3569262437125,5097.065657226395,22965.584893838542,2541.667810809942,12267.036821342575,986.4859632237028,2964.3561553884,5194.333898810784,896.2359510678588,4360.266279748111,539.4641868588704,1906.3233931332616,3703.754251690523,1160.994791967455,4796.5835690900885,502.6432561095614,3106.111561237684,3317.5822175829458,771.4152817611188,3507.426205144451,2377.7485533608283,12556.126520391788,2165.452821975436,96.69151929716617,4297.052893886651,473.8385689973083,730.980422176451,371.69763998197055,0
8,9813.40599897448,541.161627063634,414.7380885979754,7466.636866338971,1360.8094579748115,944.5325777758452,27828.260725523454,2980.6998821024167,598.3576499119417,622.905099586294,6032.885869827501,17265.643387795528,464.9483968600695,5938.925299528788,3916.420673542564,9822.132358521269,1188.58661024322,1745.731523916341,8018.957611783368,17675.890056880417,380.6140440258096,1223.5671901096398,1278.6704092760217,24372.85261051507,6288.144587705789,4770.359315688509,1544.4423393395791,18997.475884212843,468.3420151778464,3388.19523492163,1264.1950464102165,6484.665564380982,20172.747130876844,2291.58397074087,153.67031566515212,13424.33804060599,4586.590843526267,8573.159980706245,4982.713022183472,66.04384347408588,4330.555066418084,9630.883981320636,2242.750161263548,49635.60482919103,347.42667548415665,34.2684449256201,9376.96396384594,5349.503587432155,2486.0599102004344,409.6505061724002,6215.7166878208245,3615.181316338546,5169.014298435778,2479.0894420292047,4007.320571410979,6078.1683970555005,710.3482272786412,5437.629252729541,2591.9397359254917,141.77447617155244,9652.854035300315,2875.1029738565358,4239.414683342337,3564.457954427857,240.1363207328752,30159.604709969797,1382.7261776351286,211.28548324328077,37826.43123681793,2396.7479737808985,8163.095650141914,8362.194395448132,2664.582311349267,4194.246691644628,22357.96044395304,3098.521075847182,16889.183070963125,542.4431726945044,12142.39271513574,6893.652347137341,2448.0505649774245,5122.413472262909,285.6162365078233,1617.8451168059482,2643.979016857727,2239.37208045344,3246.4528366398977,1342.3890338695917,2022.121075259847,3296.061633799889,628.2306155003813,3783.749920925415,8879.279376344868,7126.410548169879,1914.687203638733,53.94160087184146,14062.364272060608,576.6475322536589,662.3876235509787,914.4381971853048,0
9,8099.1861632841665,1228.4093771601315,175.92563643665878,4578.596500700391,1551.015051124972,328.7714380430419,15661.817417509954,2198.146963026064,623.9332159128022,428.6094308363004,4987.767180644012,2813.381098758357,215.0585249815679,4440.17635702629,222.90603354849412,6536.26757562546,611.9279520628567,1023.780658809954,4427.547730807362,9926.05865043821,266.91362934793244,723.3858439009397,611.1168466398439,16525.771468325373,1656.6479163743288,3551.401711858477,3805.50622419425,9690.18414477134,298.0226673877199,1464.9098318321228,976.3306691464765,2478.442118176817,9971.68510193995,410.0454476101551,67.02401193486688,7392.100644118721,3371.94877104458,5531.419669997684,2378.2881240794363,32.57042403319506,3410.582233347194,6096.794925240367,2792.277374689206,18803.71923185232,831.8629642548879,37.83727438701826,8783.964089656223,2236.1792128906627,2357.019353012965,202.52135155433945,6076.718217057209,2530.32785083216,754.716982870156,2031.1292305439663,201.7074912589825,1007.321488608539,338.44148991651383,3631.9486766555233,596.7135080272203,444.8310025855851,5442.156132169251,5265.143471229941,3223.9090104237544,1365.8266111826367,172.36326012401014,10666.323729209118,1038.2850746652337,289.9222637647906,12066.572209333202,2357.937163885328,5410.75624190312,7893.038809460068,823.8312752761447,3294.21767613428,6384.734167190006,3000.654836418162,9289.806579928756,2213.611922009954,5651.102243860246,2948.7972093444623,4822.305190174266,2062.5866940165,137.75911651397033,1394.1962359579347,4579.464561004714,666.6945952670045,2000.6438248013997,455.9348494331073,1935.6003585035085,4056.0396609919385,420.89793874173927,2967.2265415553475,3149.770010686906,8203.720170781507,1416.2792182778658,43.74859873781303,7100.120113886747,141.1234126864477,1144.5902710663297,660.1607184990646,0
